City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,Bouafle,CI,72.48,moderate rain,6.9904,-5.7442,Hotel Zaouli
612,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
623,Saurimo,AO,66.56,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
625,Butembo,CD,60.49,overcast clouds,0.15,29.2833,Hotel Butembo
629,Kostomuksha,RU,62.73,overcast clouds,64.571,30.5767,U Mikhailicha
631,Zaozerne,UA,71.53,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
632,Le Port,RE,69.26,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
633,Baoding,CN,68.09,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
634,Rantepao,ID,66.65,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
635,Novopokrovskaya,RU,71.22,clear sky,45.9514,40.7006,Etalon hotel
636,Machacamarca,BO,60.78,clear sky,-18.1667,-67.0333,
639,Agapovka,RU,67.21,few clouds,53.2973,59.1348,Gostinitsa Zhkkh
642,Petropavlovsk-Kamchatskiy,RU,61.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
645,Mnogovershinnyy,RU,64.53,light rain,53.9353,139.9242,Obshchezhitiye 14
648,Tibacuy,CO,74.48,moderate rain,4.3511,-72.4564,hospedaje las palmas
652,Koslan,RU,65.93,scattered clouds,63.4564,48.8989,
655,Nyalikungu,TZ,70.0,clear sky,-3.1833,33.7833,Country house lodge nyalikungu
663,Zhangye,CN,71.56,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
668,Ryotsu,JP,72.55,light rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
670,Zmeinogorsk,RU,66.54,clear sky,51.1567,82.195,"Kompastur, Gostinitsa"
671,Saint-Joseph,RE,66.2,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
673,Sembe,CG,72.73,overcast clouds,1.6481,14.5806,
684,Khani,GE,62.17,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
685,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
689,Hudson Bay,CA,73.67,broken clouds,52.85,-102.3842,Norwood Motel LTD
693,Ouadda,CF,69.33,overcast clouds,8.0777,22.4007,
